index,Artist,Playlist AVG Release Time,Instagram Link,Artists Spotify Link,Career Started,Number of Tracks,Instagram Subscribers,Monthly Listeners,Time Since Latest Release,Average Release Time IG,AVG Release Time Artist,Playlist Description,Playlists Likes,Average Comments,Artist AVG Release,Playlist Link,Popularity Index,Artist Inside,AVG Release Time Per Track Artist,Average Likes,AVG listeners playlist,Number of artists in playlist
0,LOVNIS,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,0.0,3.0
1,ULITKA,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,0.0,3.0
2,Mark Loughrey,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,0.0,3.0
3,Hannah Elkins,605.1135644121849,https://instagram.com/fidlar,https://open.spotify.com/artist/3P6duIn7oHeiBACZfYeNud,4006,78,-1.0,618200.0,11.435587963506945,0.0,460.0,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,49,FIDLAR,51,,11182577.46,250.0
4,Hannah Elkins,605.1135644121849,https://instagram.com/benleftwich,https://open.spotify.com/artist/7D5oTJSXSHf51auG0106CQ,4433,92,-1.0,933800.0,629.4356491281944,0.0,496.57894736842104,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,48,Benjamin Francis Leftwich,48,,11182577.46,250.0
5,Hannah Elkins,605.1135644121849,https://instagram.com/george_ezra,https://open.spotify.com/artist/2ysnwxxNtSgbb9t1m2Ur4j,3565,97,-1.0,17400000.0,200.43570723309026,0.0,691.8888888888889,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,73,George Ezra,36,,11182577.46,250.0
6,Hannah Elkins,605.1135644121849,https://instagram.com/thexx,https://open.spotify.com/artist/3iOvXCl6edW5Um0fXEBRXy,5119,93,-1.0,5800000.0,260.43575196350696,0.0,639.3181818181819,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,64,The xx,55,,11182577.46,250.0
7,Hannah Elkins,605.1135644121849,https://instagram.com/mumfordandsons,https://open.spotify.com/artist/3gd8FJtBJtkRxdfbTu19U2,4967,135,-1.0,10300000.0,991.4357963711458,0.0,531.421052631579,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,70,Mumford &amp; Sons,36,,11182577.46,250.0
8,Hannah Elkins,605.1135644121849,No Instagram,https://open.spotify.com/artist/29WzbAQtDnBJF09es0uddn,6428,103,-1.0,5900000.0,50.435876616215275,-1.0,993.2105263157895,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,-1.0,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,62,Corinne Bailey Rae,62,-1.0,11182577.46,250.0
9,Hannah Elkins,605.1135644121849,https://instagram.com/tameimpala,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,5698,103,-1.0,26100000.0,18.435971891921294,0.0,610.6521739130435,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,78,Tame Impala,55,,11182577.46,250.0
10,Hannah Elkins,605.1135644121849,https://instagram.com/reginaspektor,https://open.spotify.com/artist/3z6Gk257P9jNcZbBXJNX5i,8065,224,-1.0,3000000.0,368.4360428445023,0.0,1051.904761904762,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,59,Regina Spektor,36,,11182577.46,250.0
11,Hannah Elkins,605.1135644121849,No Instagram,https://open.spotify.com/artist/08GQAI4eElDnROBrJRGE0X,20254,743,-1.0,30900000.0,218.4362149326736,-1.0,690.8965517241379,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,-1.0,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,79,Fleetwood Mac,27,-1.0,11182577.46,250.0
12,Hannah Elkins,605.1135644121849,https://instagram.com/benhoward_,https://open.spotify.com/artist/5schNIzWdI9gJ1QRK8SBnc,4602,121,-1.0,4400000.0,53.43624588975695,0.0,851.8125,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,64,Ben Howard,38,,11182577.46,250.0
13,Hannah Elkins,605.1135644121849,https://instagram.com/jamesblake,https://open.spotify.com/artist/53KwLdlmrlCelAZMaLVZqU,5108,125,-1.0,11300000.0,13.436293916898148,0.0,553.76,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,72,James Blake,40,,11182577.46,250.0
14,Hannah Elkins,605.1135644121849,https://instagram.com/realtamiaworld,https://open.spotify.com/artist/0le01dl1WllSHhjEXRl4in,8346,136,-1.0,2800000.0,25.436435344768523,0.0,1133.5294117647059,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,59,Tamia,61,,11182577.46,250.0
15,Hannah Elkins,605.1135644121849,https://instagram.com/newtonfaulkner,https://open.spotify.com/artist/0pf1lcBxh6HiiHQAIzhTI5,6093,255,-1.0,572800.0,256.4364841773843,0.0,453.02777777777777,Just a playlist to enjoy on your way to the beach from your favourite ethical jewellery brand ☀️ ,137,,161.85714285714286,https://open.spotify.com/playlist/2bRyBQ2zQWgg77BnWCh4YJ,46,Newton Faulkner,23,,11182577.46,250.0
