,Bucket range,Monthly listeners,Name,Popularity Index,Playlist AVG Release Time,Career Started,Number of Tracks,Time Since Latest Release,Average Release Time IG,AVG Release Time Artist,Playlists Likes,AVG Release Time Per Track Artist,AVG listeners playlist,Number of artists in playlist
0,0-6180,0.0,Stix Omar,21,395,1,1,1,0,1,723,1,282466,975
1,6180-12360,6200.0,DJ Robert Smith,22,395,1616,55,67,0,93,723,29,230779,2697
2,12360-18540,12500.0,Oxyflux,19,395,1527,6,606,0,306,723,217,230779,2697
3,18540-24720,20100.0,Webra,22,395,1060,6,158,0,180,723,175,230779,2697
4,24720-30900,25200.0,Daksinamurti,19,395,3814,117,204,0,1017,723,32,230779,2697
5,30900-37080,31000.0,Andreas Weisz,23,395,1870,12,18,0,463,723,155,230779,2697
6,37080-43260,37800.0,Magugu,26,395,2622,90,8,0,92,723,27,230779,2697
7,43260-49440,46500.0,atsou,26,395,1294,18,46,0,138,723,68,230779,2697
8,49440-55620,51500.0,Tightill,32,395,2290,110,46,0,202,723,19,230779,2697
9,55620-61800,57700.0,Mathew Jonson,27,395,8128,88,25,0,302,723,90,230779,2697
10,61800-67980,62900.0,Julian Jeweil,26,395,1,1,1,0,1,723,1,230779,2697
11,67980-74160,69000.0,Chris Schwarzwalder,28,395,1,1,1,0,1,723,1,230779,2697
12,74160-80340,74400.0,Fuffifufzich,36,395,1340,24,12,0,231,723,55,230779,2697
13,80340-86520,80600.0,Megablast,30,395,5813,66,18,0,419,723,85,230779,2697
14,86520-92700,88400.0,Laut &amp; Luise,33,395,3230,69,39,0,381,723,46,230779,2697
15,92700-98880,95300.0,Dario D'Attis,32,395,4026,173,39,0,154,723,23,230779,2697
16,98880-105060,104200.0,Der Dritte Raum,32,395,5879,169,235,0,632,723,34,230779,2697
17,105060-111240,108000.0,Emok,31,395,4535,52,200,0,233,723,87,230779,2697
18,111240-117420,115100.0,Raz Ohara,35,395,8677,138,81,0,1153,723,62,230779,2697
19,117420-123600,122400.0,Shall Ocin,33,395,4193,52,18,0,231,723,79,230779,2697
20,123600-129780,128199.0,Matanza,36,395,4619,42,215,0,1068,723,110,230779,2697
22,135960-142140,136800.0,Terrence Parker,34,395,8125,242,176,0,249,723,33,230779,2697
25,154500-160680,156000.0,Rhode,36,395,1156,24,32,0,74,723,48,230779,2697
26,160680-166860,164400.0,Jens O.,37,395,8096,223,39,0,204,723,36,230779,2697
27,166860-173040,171800.0,Bala Desejo,40,395,481,15,174,0,191,723,30,230779,2697
28,173040-179220,175400.0,Pierre Barouh,35,395,20151,194,4310,0,4993,723,103,230779,2697
33,203940-210120,204900.0,Karat,39,395,15114,560,1754,0,580,723,26,230779,2697
34,210120-216300,210900.0,Avalon,39,395,4990,90,15,0,394,723,55,230779,2697
44,271920-278100,272200.0,Midnight Magic,39,395,4778,113,125,0,431,723,42,230779,2697
49,302820-309000,303000.0,The Upbeats,41,395,7105,231,75,0,307,723,30,230779,2697
50,309000-315180,314600.0,DJ Daddy Trance,42,395,654,11,81,0,191,723,59,230779,2697
55,339900-346080,340800.0,Tim Green,42,395,6335,207,18,0,189,723,30,230779,2697
62,383160-389340,389000.0,Mollono.Bass,43,395,5850,228,28,0,174,723,24,230779,2697
69,426420-432600,426800.0,Marti Fischer,45,395,3760,41,81,0,396,723,90,230779,2697
71,438780-444960,444500.0,Egypt 80,47,395,4431,40,148,0,1557,723,110,230779,2697
78,482040-488220,483100.0,Dilla,49,395,729,17,11,0,55,723,42,230779,2697
86,531480-537660,537300.0,Young Marco,45,395,4186,81,133,0,765,723,51,230779,2697
105,648900-655080,650000.0,Liquid Soul,46,395,6186,282,46,0,305,723,21,230779,2697
161,994980-1001160,1000000.0,horsegiirL,51,395,536,11,56,0,79,723,48,230779,2697
